Numb;count;memalloc;malloc
1;100;0,000006;0,000091
2;200;0,000019;0,000029
3;300;0,000054;0,000056
4;400;0,00007;0,000215
5;500;0,000142;0,000138
6;600;0,000237;0,000271
7;700;0,000253;0,000143
8;800;0,000327;0,000228
9;900;0,000399;0,000164
10;1000;0,000383;0,000211
11;1100;0,000436;0,000149
12;1200;0,00071;0,000162
13;1300;0,000596;0,000192
14;1400;0,00113;0,00023
15;1500;0,001274;0,000218
16;1600;0,000895;0,000256
17;1700;0,0014;0,00022
18;1800;0,001457;0,000289
19;1900;0,00147;0,000315
20;2000;0,001629;0,0003
21;2100;0,001798;0,000277
22;2200;0,001819;0,000287
23;2300;0,001911;0,000453
24;2400;0,002073;0,000338
25;2500;0,002889;0,000318
26;2600;0,002774;0,000583
27;2700;0,00274;0,000363
28;2800;0,003678;0,000623
29;2900;0,00408;0,000488
30;3000;0,004131;0,000534
31;3100;0,004179;0,000556
32;3200;0,004343;0,000457
33;3300;0,005251;0,000659
34;3400;0,006818;0,000644
35;3500;0,006131;0,000791
36;3600;0,004817;0,00073
37;3700;0,004927;0,000506
38;3800;0,005015;0,000759
39;3900;0,006437;0,000528
40;4000;0,00751;0,000803
41;4100;0,006717;0,000765
42;4200;0,007223;0,000581
43;4300;0,006632;0,000638
44;4400;0,007595;0,000589
45;4500;0,009483;0,001206
46;4600;0,008349;0,000894
47;4700;0,009114;0,000877
48;4800;0,010435;0,001139
49;4900;0,011475;0,001044
50;5000;0,011604;0,000739
51;5100;0,012146;0,001035
52;5200;0,011009;0,001125
53;5300;0,011783;0,000932
54;5400;0,011851;0,000988
55;5500;0,01264;0,001211
56;5600;0,013453;0,001102
57;5700;0,013035;0,000966
58;5800;0,014349;0,000916
59;5900;0,01454;0,000858
60;6000;0,015874;0,001285
61;6100;0,014348;0,000945
62;6200;0,015015;0,001357
63;6300;0,015464;0,001322
64;6400;0,016567;0,001501
65;6500;0,015683;0,001159
66;6600;0,016834;0,001027
67;6700;0,017911;0,001495
68;6800;0,019997;0,001609
69;6900;0,018907;0,001883
70;7000;0,018759;0,001229
71;7100;0,019661;0,001377
72;7200;0,01999;0,00097
73;7300;0,020296;0,00186
74;7400;0,025039;0,001447
75;7500;0,023535;0,00111
76;7600;0,021936;0,00115
77;7700;0,021121;0,001033
78;7800;0,02148;0,001062
79;7900;0,025258;0,001334
80;8000;0,028806;0,001718
81;8100;0,027837;0,001353
82;8200;0,026882;0,00168
83;8300;0,026832;0,001149
84;8400;0,030686;0,001452
85;8500;0,029254;0,001715
86;8600;0,027354;0,001396
87;8700;0,031498;0,001179
88;8800;0,038144;0,001307
89;8900;0,030296;0,002296
90;9000;0,031119;0,00129
91;9100;0,031388;0,001241
92;9200;0,044112;0,002526
93;9300;0,039296;0,001506
94;9400;0,036987;0,001694
95;9500;0,033622;0,001722
96;9600;0,033292;0,001321
97;9700;0,035834;0,001371
98;9800;0,037917;0,00132
99;9900;0,036569;0,001327
100;10000;0,036736;0,001497
